"Theoretical.MW";"Structure0";"Structure";"unsatUA";"GlcA";"GlcN";"Ac";"SO3";"anhydro";"Adductive";"Man";"dp";"isotopic.peak"
1540.11809;"[0,3,3,3,5,1,]-[0]";"[3,3,3,5,1]";0;3;3;3;5;0;0;1;6;1
1620.0749;"[0,3,3,3,6,1,]-[0]";"[3,3,3,6,1]";0;3;3;3;6;0;0;1;6;1
1700.03171;"[0,3,3,3,7,1,]-[0]";"[3,3,3,7,1]";0;3;3;3;7;0;0;1;6;1
1335.28479;"[0,3,4,0,2,1,]-[0]";"[3,4,0,2,1]";0;3;4;0;2;0;0;1;7;1
1415.2416;"[0,3,4,0,3,1,]-[0]";"[3,4,0,3,1]";0;3;4;0;3;0;0;1;7;1
1495.19841;"[0,3,4,0,4,1,]-[0]";"[3,4,0,4,1]";0;3;4;0;4;0;0;1;7;1
1575.15522;"[0,3,4,0,5,1,]-[0]";"[3,4,0,5,1]";0;3;4;0;5;0;0;1;7;1
1655.11203;"[0,3,4,0,6,1,]-[0]";"[3,4,0,6,1]";0;3;4;0;6;0;0;1;7;1
1735.06884;"[0,3,4,0,7,1,]-[0]";"[3,4,0,7,1]";0;3;4;0;7;0;0;1;7;1
1815.02565;"[0,3,4,0,8,1,]-[0]";"[3,4,0,8,1]";0;3;4;0;8;0;0;1;7;1
1894.98246;"[0,3,4,0,9,1,]-[0]";"[3,4,0,9,1]";0;3;4;0;9;0;0;1;7;1
1974.93927;"[0,3,4,0,10,1,]-[0]";"[3,4,0,10,1]";0;3;4;0;10;0;0;1;7;1
2054.89608;"[0,3,4,0,11,1,]-[0]";"[3,4,0,11,1]";0;3;4;0;11;0;0;1;7;1
2134.85289;"[0,3,4,0,12,1,]-[0]";"[3,4,0,12,1]";0;3;4;0;12;0;0;1;7;1
1377.29535;"[0,3,4,1,2,1,]-[0]";"[3,4,1,2,1]";0;3;4;1;2;0;0;1;7;1
1457.25216;"[0,3,4,1,3,1,]-[0]";"[3,4,1,3,1]";0;3;4;1;3;0;0;1;7;1
1537.20897;"[0,3,4,1,4,1,]-[0]";"[3,4,1,4,1]";0;3;4;1;4;0;0;1;7;1
1617.16578;"[0,3,4,1,5,1,]-[0]";"[3,4,1,5,1]";0;3;4;1;5;0;0;1;7;1
1697.12259;"[0,3,4,1,6,1,]-[0]";"[3,4,1,6,1]";0;3;4;1;6;0;0;1;7;1
1777.0794;"[0,3,4,1,7,1,]-[0]";"[3,4,1,7,1]";0;3;4;1;7;0;0;1;7;1
1857.03621;"[0,3,4,1,8,1,]-[0]";"[3,4,1,8,1]";0;3;4;1;8;0;0;1;7;1
1936.99302;"[0,3,4,1,9,1,]-[0]";"[3,4,1,9,1]";0;3;4;1;9;0;0;1;7;1
2016.94983;"[0,3,4,1,10,1,]-[0]";"[3,4,1,10,1]";0;3;4;1;10;0;0;1;7;1
