"Theoretical.MW";"Structure0";"Structure";"unsatUA";"GlcA";"GlcN";"Ac";"SO3";"anhydro";"Adductive";"Man";"dp";"isotopic.peak"
1049.01643;"[0,1,2,0,6,1,]-[4]";"[1,2,0,6,1]";0;1;2;0;6;0;4;1;3;1
1066.04298;"[0,1,2,0,6,1,]-[5]";"[1,2,0,6,1]";0;1;2;0;6;0;5;1;3;1
1083.06953;"[0,1,2,0,6,1,]-[6]";"[1,2,0,6,1]";0;1;2;0;6;0;6;1;3;1
1100.09608;"[0,1,2,0,6,1,]-[7]";"[1,2,0,6,1]";0;1;2;0;6;0;7;1;3;1
543.17993;"[0,1,2,1,0,1,]-[0]";"[1,2,1,0,1]";0;1;2;1;0;0;0;1;3;1
560.20648;"[0,1,2,1,0,1,]-[1]";"[1,2,1,0,1]";0;1;2;1;0;0;1;1;3;1
623.13674;"[0,1,2,1,1,1,]-[0]";"[1,2,1,1,1]";0;1;2;1;1;0;0;1;3;1
640.16329;"[0,1,2,1,1,1,]-[1]";"[1,2,1,1,1]";0;1;2;1;1;0;1;1;3;1
657.18984;"[0,1,2,1,1,1,]-[2]";"[1,2,1,1,1]";0;1;2;1;1;0;2;1;3;1
703.09355;"[0,1,2,1,2,1,]-[0]";"[1,2,1,2,1]";0;1;2;1;2;0;0;1;3;1
720.1201;"[0,1,2,1,2,1,]-[1]";"[1,2,1,2,1]";0;1;2;1;2;0;1;1;3;1
737.14665;"[0,1,2,1,2,1,]-[2]";"[1,2,1,2,1]";0;1;2;1;2;0;2;1;3;1
754.1732;"[0,1,2,1,2,1,]-[3]";"[1,2,1,2,1]";0;1;2;1;2;0;3;1;3;1
783.05036;"[0,1,2,1,3,1,]-[0]";"[1,2,1,3,1]";0;1;2;1;3;0;0;1;3;1
800.07691;"[0,1,2,1,3,1,]-[1]";"[1,2,1,3,1]";0;1;2;1;3;0;1;1;3;1
817.10346;"[0,1,2,1,3,1,]-[2]";"[1,2,1,3,1]";0;1;2;1;3;0;2;1;3;1
834.13001;"[0,1,2,1,3,1,]-[3]";"[1,2,1,3,1]";0;1;2;1;3;0;3;1;3;1
851.15656;"[0,1,2,1,3,1,]-[4]";"[1,2,1,3,1]";0;1;2;1;3;0;4;1;3;1
863.00717;"[0,1,2,1,4,1,]-[0]";"[1,2,1,4,1]";0;1;2;1;4;0;0;1;3;1
880.03372;"[0,1,2,1,4,1,]-[1]";"[1,2,1,4,1]";0;1;2;1;4;0;1;1;3;1
897.06027;"[0,1,2,1,4,1,]-[2]";"[1,2,1,4,1]";0;1;2;1;4;0;2;1;3;1
914.08682;"[0,1,2,1,4,1,]-[3]";"[1,2,1,4,1]";0;1;2;1;4;0;3;1;3;1
931.11337;"[0,1,2,1,4,1,]-[4]";"[1,2,1,4,1]";0;1;2;1;4;0;4;1;3;1
948.13992;"[0,1,2,1,4,1,]-[5]";"[1,2,1,4,1]";0;1;2;1;4;0;5;1;3;1
942.96398;"[0,1,2,1,5,1,]-[0]";"[1,2,1,5,1]";0;1;2;1;5;0;0;1;3;1
959.99053;"[0,1,2,1,5,1,]-[1]";"[1,2,1,5,1]";0;1;2;1;5;0;1;1;3;1
977.01708;"[0,1,2,1,5,1,]-[2]";"[1,2,1,5,1]";0;1;2;1;5;0;2;1;3;1
994.04363;"[0,1,2,1,5,1,]-[3]";"[1,2,1,5,1]";0;1;2;1;5;0;3;1;3;1
1011.07018;"[0,1,2,1,5,1,]-[4]";"[1,2,1,5,1]";0;1;2;1;5;0;4;1;3;1
1028.09673;"[0,1,2,1,5,1,]-[5]";"[1,2,1,5,1]";0;1;2;1;5;0;5;1;3;1
